"CityName","TownName","VilCode","VilName","NesatAndHaitang","Megi"
"台北市","松山區","6300100-002","莊敬里",288.250743630761,97.385855527543
"台北市","松山區","6300100-003","東榮里",288.250743630761,97.385855527543
"台北市","松山區","6300100-004","三民里",288.250743630761,97.385855527543
"台北市","松山區","6300100-005","新益里",288.250743630761,97.385855527543
"台北市","松山區","6300100-006","富錦里",288.250743630761,97.385855527543
"台北市","松山區","6300100-007","新東里",288.250743630761,97.385855527543
"台北市","松山區","6300100-008","富泰里",288.250743630761,97.385855527543
"台北市","松山區","6300100-009","介壽里",288.250743630761,97.385855527543
"台北市","松山區","6300100-010","精忠里",288.250743630761,97.385855527543
"台北市","松山區","6300100-011","東光里",288.250743630761,97.385855527543
"台北市","松山區","6300100-012","龍田里",288.250743630761,97.385855527543
"台北市","松山區","6300100-013","東昌里",288.250743630761,97.385855527543
"台北市","松山區","6300100-014","東勢里",288.250743630761,97.385855527543
"台北市","松山區","6300100-015","中華里",288.250743630761,97.385855527543
"台北市","松山區","6300100-016","民有里",288.250743630761,97.385855527543
"台北市","松山區","6300100-017","民福里",288.250743630761,97.385855527543
"台北市","松山區","6300100-018","慈祐里",288.250743630761,97.385855527543
"台北市","松山區","6300100-019","安平里",288.250743630761,97.385855527543
"台北市","松山區","6300100-020","鵬程里",288.250743630761,97.385855527543
"台北市","松山區","6300100-021","自強里",288.250743630761,97.385855527543
"台北市","松山區","6300100-022","吉祥里",288.250743630761,97.385855527543
"台北市","松山區","6300100-024","新聚里",288.250743630761,97.385855527543
"台北市","松山區","6300100-025","復盛里",288.250743630761,97.385855527543
"台北市","松山區","6300100-026","中正里",288.250743630761,97.385855527543
"台北市","松山區","6300100-027","中崙里",288.250743630761,97.385855527543
"台北市","松山區","6300100-028","美仁里",288.250743630761,97.385855527543
"台北市","松山區","6300100-029","吉仁里",288.250743630761,97.385855527543
"台北市","松山區","6300100-030","敦化里",288.250743630761,97.385855527543
"台北市","松山區","6300100-031","復源里",288.250743630761,97.385855527543
"台北市","松山區","6300100-032","復建里",288.250743630761,97.385855527543
"台北市","松山區","6300100-033","復勢里",288.250743630761,97.385855527543
"台北市","松山區","6300100-034","福成里",288.250743630761,97.385855527543
"台北市","松山區","6300100-035","松基里",288.250743630761,97.385855527543
"台北市","信義區","6300200-001","西村里",244.217918552869,184.337436597263
"台北市","信義區","6300200-002","正和里",244.217918552869,184.337436597263
"台北市","信義區","6300200-003","興隆里",244.217918552869,184.337436597263
"台北市","信義區","6300200-004","中興里",244.217918552869,184.337436597263
"台北市","信義區","6300200-005","新仁里",244.217918552869,184.337436597263
"台北市","信義區","6300200-006","興雅里",244.217918552869,184.337436597263
"台北市","信義區","6300200-007","敦厚里",244.217918552869,184.337436597263
